sceneId,title,imagePrompt,suggestedFile
s01_capsule,Капсула,"киберпанк лаборатория, медицинская капсула с гелем, белые панели, неон, холодный свет, тревога, хоррор, кинематографично",s01_capsule.jpg
s02_lab,Лаборатория без людей,"стерильная киберпанк лаборатория, монитор с параметрами пациента, сервисный дрон в углу, дверь с панелью доступа, тревожный свет",s02_lab.jpg
s03_listen,Первичная калибровка,"медицинская капсула, манипулятор с иглой, холодный свет, напряжение, киберпанк хоррор",s03_listen.jpg
s04_body,Своё тело — чужой интерфейс,"крупный план руки в геле, неоновая сетка датчиков на коже, боль и тревога, киберпанк хоррор",s04_body.jpg
s05_locker,Шкафчик,"киберпанк шкафчик, медицинский пакет, пластиковая карта, медпластырь, стерильный свет, тревожная атмосфера",s05_locker.jpg
s06_drone,Сервисный дрон,"сервисный дрон в лаборатории, металлический таракан, камера и манипулятор, неон, тревожный хоррор",s06_drone.jpg
s07_door_panel,Панель доступа,"дверная панель доступа, голограмма, неон, слот для карты, вентиляция, тревога",s07_door_panel.jpg
s08_injection,Укол,"игла и медицинский укол, резкий свет, галлюцинации, внутренний голос, киберпанк хоррор",s08_injection.jpg
s09_drone_loot,Отсек с расходниками,"отсек дрона с батареей и хак-шипом, холодный неон, напряжение, хоррор",s09_drone_loot.jpg
s10_hallway,Коридор уровня L1,"киберпанк коридор, молочный свет, схемы эвакуации, лифт, лестница, пост охраны, тревога",s10_hallway.jpg
s11_alarm,Шум и красный свет,"красная тревога в киберпанк коридоре, сирена, тени охраны, паника, хоррор",s11_alarm.jpg
s12_elevator,Лифт,"киберпанк лифт, озон, неон, уровни L1 L2, тревожная наклейка, хоррор",s12_elevator.jpg
s13_stairs,Лестница вниз,"лестничная клетка киберпанк, бетон, аварийный красный свет, логотип корпорации, тревожные тени, хоррор",s13_stairs.jpg
s14_guardpost,Пост охраны,"пост охраны киберпанк, затемненное стекло, охранник с пустым взглядом, терминал, жетоны, жуткая тишина",s14_guardpost.jpg
